# Matter power spectrum P(k) at redshift z=0.61
# for k=1.04734e-05 to 1.53044 h/Mpc,
# number of wavenumbers equal to 643
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.528696400500e-01       1.785209914163e+03 
       1.561021657023e-01       1.707458621528e+03 
       1.593346984804e-01       1.636533722610e+03 
       1.625672374722e-01       1.573206228389e+03 
       1.657997820169e-01       1.517662066796e+03 
       1.690323316143e-01       1.469550918153e+03 
       1.722648858683e-01       1.428070925279e+03 
       1.754974444531e-01       1.392083737703e+03 
       1.787300070914e-01       1.360243947151e+03 
       1.819625735406e-01       1.331131894598e+03 
       1.851951435847e-01       1.303540591390e+03 
       1.884277170279e-01       1.276233815991e+03 
       1.916602936914e-01       1.248107234731e+03 
       1.948928734101e-01       1.218484230828e+03 
       1.981254560314e-01       1.187052501403e+03 
       2.013580414131e-01       1.153879686825e+03 
       2.045906294226e-01       1.119346922070e+03 
       2.078232199358e-01       1.084069625396e+03 
       2.110558128365e-01       1.048774211276e+03 
       2.142884080158e-01       1.014186237426e+03 
       2.175210053711e-01       9.809475314599e+02 
       2.207536048062e-01       9.495752847942e+02 
       2.239862062303e-01       9.204284707973e+02 
       2.272188095579e-01       8.937220011964e+02 
       2.304514147083e-01       8.695212131828e+02 
       2.336840216054e-01       8.477500349831e+02 
       2.369166301771e-01       8.281924382589e+02 
       2.401492403554e-01       8.105144059968e+02 
       2.433818520759e-01       7.942964466707e+02 
       2.466144652774e-01       7.790789875409e+02 
       2.498470799022e-01       7.644146947191e+02 
       2.530796958954e-01       7.499166562485e+02 
       2.563123132048e-01       7.352879575550e+02 
       2.595449317810e-01       7.203375071347e+02 
       2.627775515769e-01       7.049715419094e+02 
       2.660101725479e-01       6.891918903278e+02 
       2.692427946513e-01       6.730757141814e+02 
       2.724754178465e-01       6.567614009941e+02 
       2.757080420950e-01       6.404399959043e+02 
       2.789406673600e-01       6.243320613184e+02 
       2.821732936062e-01       6.086626238414e+02 
       2.854059208003e-01       5.936354477622e+02 
       2.886385489100e-01       5.794064324022e+02 
       2.918711779049e-01       5.660681654995e+02 
       2.951038077557e-01       5.536449809799e+02 
       2.983364384345e-01       5.421004572265e+02 
       3.015690699144e-01       5.313534995916e+02 
       3.048017021698e-01       5.212950991327e+02 
       3.080343351763e-01       5.117998696006e+02 
       3.112669689102e-01       5.027378260057e+02 
       3.144996033490e-01       4.939808314258e+02 
       3.177322384712e-01       4.854060392224e+02 
       3.209648742559e-01       4.769064630851e+02 
       3.241975106833e-01       4.683996757493e+02 
       3.274301477341e-01       4.598365162705e+02 
       3.306627853901e-01       4.512055637534e+02 
       3.338954236336e-01       4.425276218490e+02 
       3.371280624476e-01       4.338517734963e+02 
