# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  150       5.893926423089e-10       1.471125952944e-13      -6.215632171451e-12       0.000000000000e+00       3.338103375507e-12       5.933591265875e-13      -3.922048400197e-15 
  151       5.938155172878e-10       1.464375445980e-13      -6.220473190567e-12       0.000000000000e+00       3.274752570719e-12       5.849111473821e-13      -3.861978992195e-15 
  152       5.982129611184e-10       1.457039307005e-13      -6.222068197060e-12       0.000000000000e+00       3.213014362035e-12       5.766514631752e-13      -3.802352890631e-15 
  153       6.025836704976e-10       1.449130834671e-13      -6.220376309568e-12       0.000000000000e+00       3.152851513209e-12       5.685726539134e-13      -3.743088012718e-15 
  154       6.069262999823e-10       1.440664409856e-13      -6.215358250273e-12       0.000000000000e+00       3.094219852409e-12       5.606662539667e-13      -3.684094761882e-15 
  155       6.112394611915e-10       1.431655513369e-13      -6.206976385397e-12       0.000000000000e+00       3.037068124651e-12       5.529227303863e-13      -3.625275880041e-15 
  156       6.155217220093e-10       1.422120743667e-13      -6.195194765715e-12       0.000000000000e+00       2.981337844234e-12       5.453314611624e-13      -3.566526299884e-15 
  157       6.197716057871e-10       1.412077834563e-13      -6.179979167052e-12       0.000000000000e+00       2.926963147181e-12       5.378807134826e-13      -3.507732997149e-15 
  158       6.239875905462e-10       1.401545672940e-13      -6.161297130793e-12       0.000000000000e+00       2.873870643673e-12       5.305576219889e-13      -3.448774842895e-15 
  159       6.281681081804e-10       1.390544316462e-13      -6.139118004380e-12       0.000000000000e+00       2.821979270485e-12       5.233481670365e-13      -3.389522455787e-15 
  160       6.323115436584e-10       1.379095011288e-13      -6.113412981822e-12       0.000000000000e+00       2.771200143426e-12       5.162371529511e-13      -3.329838054371e-15 
  161       6.364163442021e-10       1.367219724963e-13      -6.084155000413e-12       0.000000000000e+00       2.721454768983e-12       5.092115503858e-13      -3.269610427031e-15 
  162       6.404813593456e-10       1.354939661497e-13      -6.051318335608e-12       0.000000000000e+00       2.672731798903e-12       5.022709011959e-13      -3.208863627277e-15 
  163       6.445055295647e-10       1.342276648213e-13      -6.014879047561e-12       0.000000000000e+00       2.625035035917e-12       4.954177964258e-13      -3.147657653100e-15 
  164       6.484877787161e-10       1.329253624109e-13      -5.974815161217e-12       0.000000000000e+00       2.578365463347e-12       4.886545887524e-13      -3.086054207553e-15 
  165       6.524270137464e-10       1.315894655339e-13      -5.931106706147e-12       0.000000000000e+00       2.532721182007e-12       4.819833862203e-13      -3.024116712596e-15 
  166       6.563221244002e-10       1.302224950697e-13      -5.883735756399e-12       0.000000000000e+00       2.488097347114e-12       4.754060459779e-13      -2.961910322950e-15 
