# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.359779084249e-01       4.314258856540e+02 
       4.391838495029e-01       4.250964752790e+02 
       4.423897908267e-01       4.189317057814e+02 
       4.455957323908e-01       4.128912819267e+02 
       4.488016741901e-01       4.069791501187e+02 
       4.520076162195e-01       4.011534213862e+02 
       4.552135584743e-01       3.953983333519e+02 
       4.584195009495e-01       3.897060669007e+02 
       4.616254436408e-01       3.840771001260e+02 
       4.648313865435e-01       3.785134959354e+02 
       4.680373296532e-01       3.730270026176e+02 
       4.712432729659e-01       3.676157421123e+02 
       4.744492164772e-01       3.622879461092e+02 
       4.776551601833e-01       3.570681748265e+02 
       4.808611040801e-01       3.519326120048e+02 
       4.840670481640e-01       3.469134117994e+02 
       4.872729924312e-01       3.420160282196e+02 
       4.904789368780e-01       3.372469997820e+02 
       4.936848815011e-01       3.326095391829e+02 
       4.968908262969e-01       3.280939496369e+02 
       5.000967712621e-01       3.236908521474e+02 
       5.033027163935e-01       3.193870361702e+02 
       5.065086616879e-01       3.151748260717e+02 
       5.097146071422e-01       3.110435777968e+02 
       5.129205527534e-01       3.069793052457e+02 
       5.161264985187e-01       3.029965561937e+02 
       5.193324444350e-01       2.990778685631e+02 
       5.225383904997e-01       2.952295335239e+02 
       5.257443367100e-01       2.914161293203e+02 
       5.289502830633e-01       2.876531164985e+02 
       5.321562295569e-01       2.839396417462e+02 
       5.353621761884e-01       2.802819047246e+02 
       5.385681229552e-01       2.766798560270e+02 
       5.417740698550e-01       2.731311999925e+02 
       5.449800168854e-01       2.696702257055e+02 
       5.481859640441e-01       2.662653069144e+02 
       5.513919113288e-01       2.629260486085e+02 
       5.545978587375e-01       2.596473650321e+02 
       5.578038062678e-01       2.564302288505e+02 
       5.610097539178e-01       2.532766783593e+02 
       5.642157016854e-01       2.501858980558e+02 
       5.674216495686e-01       2.471550205466e+02 
       5.706275975654e-01       2.441841893466e+02 
       5.738335456739e-01       2.412671857032e+02 
       5.770394938923e-01       2.383993377300e+02 
       5.802454422187e-01       2.355765146205e+02 
       5.834513906514e-01       2.327964080489e+02 
       5.866573391885e-01       2.300584749199e+02 
       5.898632878285e-01       2.273630870247e+02 
       5.930692365696e-01       2.247099487047e+02 
       5.962751854101e-01       2.220977193291e+02 
       5.994811343486e-01       2.195243155214e+02 
       6.026870833834e-01       2.169878721686e+02 
       6.058930325129e-01       2.144871693675e+02 
       6.090989817358e-01       2.120230316865e+02 
       6.123049310504e-01       2.095971976573e+02 
       6.155108804555e-01       2.072117286683e+02 
       6.187168299495e-01       2.048677620679e+02 
       6.219227795311e-01       2.025646744884e+02 
       6.251287291989e-01       2.003006061376e+02 
       6.283346789516e-01       1.980732019139e+02 
       6.315406287880e-01       1.958808316387e+02 
       6.347465787067e-01       1.937222449579e+02 
       6.379525287065e-01       1.915985460111e+02 
       6.411584787863e-01       1.895093178350e+02 
       6.443644289446e-01       1.874542253273e+02 
       6.475703791806e-01       1.854313761693e+02 
       6.507763294928e-01       1.834385992187e+02 
       6.539822798804e-01       1.814737248314e+02 
       6.571882303420e-01       1.795351284542e+02 
       6.603941808767e-01       1.776228480879e+02 
       6.636001314835e-01       1.757376444562e+02 
       6.668060821611e-01       1.738802806565e+02 
       6.700120329087e-01       1.720509999648e+02 
       6.732179837253e-01       1.702498262200e+02 
       6.764239346097e-01       1.684742355248e+02 
       6.796298855612e-01       1.667231823620e+02 
       6.828358365787e-01       1.649961767059e+02 
       6.860417876613e-01       1.632933552542e+02 
       6.892477388082e-01       1.616154473033e+02 
       6.924536900183e-01       1.599632886594e+02 
       6.956596412909e-01       1.583366957407e+02 
       6.988655926250e-01       1.567348595662e+02 
       7.020715440199e-01       1.551563513668e+02 
       7.052774954746e-01       1.535994378477e+02 
       7.084834469884e-01       1.520631669513e+02 
       7.116893985605e-01       1.505475476610e+02 
       7.148953501901e-01       1.490529344620e+02 
       7.181013018765e-01       1.475798577091e+02 
       7.213072536187e-01       1.461280345175e+02 
       7.245132054162e-01       1.446966055821e+02 
       7.277191572682e-01       1.432843211796e+02 
       7.309251091740e-01       1.418899950330e+02 
       7.341310611328e-01       1.405132215309e+02 
       7.373370131440e-01       1.391537291272e+02 
       7.405429652069e-01       1.378130786094e+02 
       7.437489173208e-01       1.364907846631e+02 
       7.469548694850e-01       1.351872742974e+02 
       7.501608216990e-01       1.339019755491e+02 
       7.533667739620e-01       1.326336902997e+02 
       8.234874542264e-01       1.086168861282e+02 
       9.251239612670e-01       8.340952795926e+01 
       1.086877466696e+00       5.758170099144e+01 
